bodyId,bx,by,bz,count
10001,36,27,27,80
10001,34,35,23,46
10001,48,38,41,2
10001,34,35,18,124
10001,44,33,31,3
10001,36,35,20,59
10001,33,28,27,294
10001,36,34,20,56
10001,36,22,36,1
10001,35,27,26,178
10001,35,35,16,179
10001,42,22,27,15
10001,35,29,26,80
10001,34,27,29,54
10001,36,36,22,40
10001,37,23,29,6
10001,35,34,23,81
10001,40,29,27,16
10001,45,23,27,86
10001,37,27,28,107
10001,35,34,16,54
10001,35,28,28,97
10001,36,34,22,73
10001,36,28,25,81
10001,35,29,27,293
10001,41,22,28,37
10001,42,24,27,115
10001,34,28,27,308
10001,37,38,26,26
10001,35,28,27,57
10001,35,34,17,48
10001,34,29,28,183
10001,35,29,25,67
10001,43,23,27,190
10001,48,39,42,4
10001,35,35,23,77
10001,36,37,24,47
10001,42,31,29,3
10001,34,35,22,72
10001,42,31,28,1
10001,35,33,25,44
10001,35,30,27,41
10001,36,35,24,23
10001,48,42,42,4
10001,48,44,44,4
10001,34,28,28,110
10001,41,30,28,3
10001,36,24,27,3
10001,37,29,27,27
10001,36,31,24,15
10001,35,36,23,99
10001,35,30,25,126
10001,36,28,27,276
10001,34,36,21,53
10001,46,36,36,1
10001,42,22,28,4
10001,39,24,27,51
10001,48,40,41,28
10001,36,33,22,46
10001,39,24,26,25
10001,34,35,20,107
10001,44,32,31,15
10001,36,28,28,122
10001,47,38,39,4
10001,49,43,44,2
10001,38,28,26,60
10001,46,33,34,1
10001,34,26,27,74
10001,41,20,27,33
10001,48,37,40,1
10001,45,33,33,1
10001,48,40,42,2
10001,42,30,28,1
10001,48,43,44,5
10001,37,28,25,16
10001,48,39,39,1
10001,37,34,21,4
10001,35,26,27,16
10001,40,25,26,44
10001,39,23,28,48
10001,39,23,27,32
10001,36,29,26,359
10001,35,32,24,94
10001,35,31,24,88
10001,36,36,23,83
10001,37,35,21,22
10001,35,32,25,113
10001,44,23,26,6
10001,40,30,27,4
10001,48,41,43,2
10001,40,24,26,116
10001,34,34,23,23
10001,35,31,26,11
10001,35,34,18,57
